 0.000  0.209136 6.452770 0.169724 6.606413 1188.762329 0.000000 0.367583
 0.001  0.215579 6.444562 0.176189 6.487089 1300.252441 0.000000 0.402057
 0.002  0.222013 6.436099 0.182872 6.652622 1116.017090 0.000000 0.345089
 0.003  0.228439 6.427382 0.189666 6.771055 975.059753 0.000000 0.301503
 0.004  0.234856 6.418412 0.196130 6.513166 1224.834106 0.000000 0.378737
 0.005  0.241263 6.409188 0.202705 6.564536 1157.947754 0.000000 0.358054
 0.006  0.247661 6.399711 0.209388 6.664888 1037.272949 0.000000 0.320740
 0.007  0.254049 6.389981 0.216072 6.680782 1001.312073 0.000000 0.309620
 0.008  0.260427 6.379999 0.223085 6.959947 687.641907 0.000000 0.212629
 0.009  0.266795 6.369765 0.229221 6.266436 1385.660645 0.000000 0.428466
 0.010  0.273153 6.359280 0.235795 6.525458 1106.062134 0.000000 0.342011
 0.011  0.279499 6.348544 0.242369 6.566483 1046.019165 0.000000 0.323444
 0.012  0.285835 6.337556 0.248834 6.480765 1117.093872 0.000000 0.345422
 0.013  0.292159 6.326319 0.255627 6.743836 824.044739 0.000000 0.254807
 0.014  0.298471 6.314832 0.262201 6.601070 947.717712 0.000000 0.293048
 0.015  0.304772 6.303096 0.268447 6.301811 1240.005005 0.000000 0.383428
 0.016  0.311061 6.291111 0.275240 6.715492 792.879028 0.000000 0.245170
 0.017  0.317338 6.278878 0.281705 6.504365 987.348633 0.000000 0.305303
 0.018  0.323602 6.266397 0.288169 6.470926 1001.676147 0.000000 0.309733
 0.019  0.329853 6.253668 0.294634 6.465630 986.893799 0.000000 0.305162
 0.020  0.336091 6.240692 0.301099 6.464791 966.916016 0.000000 0.298985
 0.021  0.342316 6.227470 0.307673 6.556874 848.649597 0.000000 0.262415
 0.022  0.348528 6.214002 0.314247 6.571459 807.947449 0.000000 0.249829
 0.023  0.354726 6.200289 0.320712 6.481553 875.800049 0.000000 0.270810
 0.024  0.360909 6.186331 0.327176 6.467313 866.505005 0.000000 0.267936
 0.025  0.367079 6.172129 0.333531 6.372842 941.247620 0.000000 0.291047
 0.026  0.373234 6.157683 0.339996 6.450095 838.072021 0.000000 0.259144
 0.027  0.379374 6.142994 0.346570 6.554546 702.941711 0.000000 0.217360
 0.028  0.385499 6.128063 0.352706 6.202227 1043.340332 0.000000 0.322616
 0.029  0.391609 6.112890 0.359171 6.423072 792.869385 0.000000 0.245167
 0.030  0.397704 6.097475 0.365526 6.365835 826.227661 0.000000 0.255482
 0.031  0.403783 6.081820 0.371771 6.264554 907.028198 0.000000 0.280466
 0.032  0.409846 6.065924 0.378126 6.340728 804.075928 0.000000 0.248632
 0.033  0.415892 6.049789 0.384481 6.352793 765.080811 0.000000 0.236574
 0.034  0.421923 6.033416 0.390727 6.262488 832.414368 0.000000 0.257395
 0.035  0.427936 6.016804 0.396863 6.155969 919.051697 0.000000 0.284184
 0.036  0.433933 5.999954 0.403108 6.231314 817.454285 0.000000 0.252769
 0.037  0.439913 5.982868 0.409573 6.427679 585.330383 0.000000 0.180993
 0.038  0.445875 5.965545 0.415818 6.274349 713.041077 0.000000 0.220483
 0.039  0.451820 5.947987 0.421954 6.157847 806.452148 0.000000 0.249367
 0.040  0.457747 5.930194 0.428200 6.231612 703.113953 0.000000 0.217413
 0.041  0.463655 5.912168 0.434336 6.151079 758.499084 0.000000 0.234539
 0.042  0.469546 5.893907 0.440362 6.046108 841.443176 0.000000 0.260187
 0.043  0.475418 5.875414 0.446608 6.213913 640.542786 0.000000 0.198065
 0.044  0.481271 5.856689 0.452743 6.148276 678.282837 0.000000 0.209735
 0.045  0.487105 5.837733 0.458551 5.861232 949.970154 0.000000 0.293745
 0.046  0.492920 5.818546 0.464687 6.092416 686.149719 0.000000 0.212168
 0.047  0.498715 5.799129 0.471042 6.313464 424.199005 0.000000 0.131169
 0.048  0.504491 5.779484 0.477068 6.071827 639.866333 0.000000 0.197856
 0.049  0.510247 5.759611 0.482875 5.849124 842.973633 0.000000 0.260660
 0.050  0.515983 5.739510 0.488792 5.906067 758.985168 0.000000 0.234689
 0.051  0.521698 5.719182 0.494928 6.099517 528.727966 0.000000 0.163490
 0.052  0.527393 5.698629 0.500845 5.945725 655.728333 0.000000 0.202761
 0.053  0.533067 5.677851 0.506761 5.921367 651.063232 0.000000 0.201318
 0.054  0.538720 5.656848 0.512678 5.917509 624.748840 0.000000 0.193181
 0.055  0.544351 5.635623 0.518485 5.824682 691.078613 0.000000 0.213692
 0.056  0.549962 5.614174 0.524402 5.902196 580.670654 0.000000 0.179552
 0.057  0.555550 5.592505 0.530209 5.822257 632.061829 0.000000 0.195443
 0.058  0.561117 5.570614 0.535907 5.717380 711.405884 0.000000 0.219977
 0.059  0.566661 5.548503 0.541714 5.792985 603.749329 0.000000 0.186688
 0.060  0.572183 5.526174 0.547522 5.804959 559.375305 0.000000 0.172967
 0.061  0.577682 5.503626 0.553329 5.806856 524.189514 0.000000 0.162087
 0.062  0.583159 5.480861 0.559136 5.807157 489.618774 0.000000 0.151397
 0.063  0.588612 5.457880 0.564834 5.714988 551.174133 0.000000 0.170431
 0.064  0.594043 5.434683 0.570312 5.515958 727.122253 0.000000 0.224837
 0.065  0.599450 5.411272 0.576010 5.668867 539.123657 0.000000 0.166705
 0.066  0.604833 5.387647 0.581598 5.600869 576.953674 0.000000 0.178403
 0.067  0.610192 5.363809 0.587186 5.590100 555.954651 0.000000 0.171909
 0.068  0.615527 5.339759 0.592993 5.772826 331.016937 0.000000 0.102355
 0.069  0.620838 5.315499 0.598362 5.432903 647.858032 0.000000 0.200327
 0.070  0.626125 5.291029 0.604060 5.655712 384.083344 0.000000 0.118764
 0.071  0.631386 5.266350 0.609648 5.598786 405.524048 0.000000 0.125394
 0.072  0.636623 5.241463 0.614907 5.313122 668.138611 0.000000 0.206598
 0.073  0.641835 5.216369 0.620495 5.544525 396.240814 0.000000 0.122523
 0.074  0.647021 5.191069 0.625974 5.488960 416.845093 0.000000 0.128895
 0.075  0.652182 5.165565 0.631233 5.295727 582.887878 0.000000 0.180237
 0.076  0.657317 5.139856 0.636821 5.541770 292.969940 0.000000 0.090591
 0.077  0.662426 5.113945 0.642081 5.304091 501.729279 0.000000 0.155142
 0.078  0.667509 5.087831 0.647449 5.358663 410.484497 0.000000 0.126928
 0.079  0.672565 5.061517 0.652818 5.367306 364.525604 0.000000 0.112717
 0.080  0.677595 5.035003 0.658406 5.553107 131.057800 0.000000 0.040525
 0.081  0.682599 5.008290 0.663885 5.490319 151.287888 0.000000 0.046780
 0.082  0.687575 4.981379 0.668706 4.927079 698.273804 0.000000 0.215916
 0.083  0.692524 4.954272 0.673856 5.114518 474.740662 0.000000 0.146797
 0.084  0.697446 4.926969 0.679115 5.236422 312.532593 0.000000 0.096640
 0.085  0.702340 4.899471 0.684155 5.071298 446.559570 0.000000 0.138083
 0.086  0.707207 4.871781 0.689415 5.229576 245.336197 0.000000 0.075862
 0.087  0.712045 4.843897 0.694674 5.254645 177.508377 0.000000 0.054888
 0.088  0.716856 4.815823 0.699714 5.074184 323.586914 0.000000 0.100058
 0.089  0.721638 4.787559 0.704535 4.861170 508.859375 0.000000 0.157347
 0.090  0.726392 4.759105 0.709576 5.011863 318.152130 0.000000 0.098377
 0.091  0.731117 4.730464 0.714945 5.312378 -36.251511 0.000000 -0.011209
 0.092  0.735813 4.701636 0.719766 4.898896 347.991211 0.000000 0.107604
 0.093  0.740480 4.672622 0.724806 5.017838 185.834000 0.000000 0.057463
 0.094  0.745118 4.643424 0.729517 4.760030 414.221680 0.000000 0.128083
 0.095  0.749727 4.614042 0.734448 4.903628 228.526611 0.000000 0.070664
 0.096  0.754306 4.584479 0.739269 4.834157 260.576172 0.000000 0.080574
 0.097  0.758855 4.554734 0.744200 4.915369 135.499695 0.000000 0.041898
 0.098  0.763374 4.524810 0.749130 4.928232 78.253273 0.000000 0.024197
 0.099  0.767863 4.494707 0.753842 4.745837 224.481308 0.000000 0.069413
 0.100  0.772322 4.464426 0.758663 4.809165 117.580963 0.000000 0.036358
 0.101  0.776750 4.433969 0.763265 4.634763 257.041962 0.000000 0.079481
 0.102  0.781148 4.403337 0.768086 4.791573 53.284817 0.000000 0.016476
 0.103  0.785514 4.372532 0.772578 4.539761 272.216400 0.000000 0.084173
 0.104  0.789850 4.341554 0.777400 4.776525 -14.754609 0.000000 -0.004562
 0.105  0.794155 4.310404 0.782001 4.629594 92.044075 0.000000 0.028461
 0.106  0.798428 4.279084 0.786603 4.606322 72.705017 0.000000 0.022481
 0.107  0.802670 4.247595 0.790877 4.325988 322.961853 0.000000 0.099865
 0.108  0.806880 4.215939 0.795369 4.466020 139.927719 0.000000 0.043268
 0.109  0.811058 4.184116 0.799752 4.395983 171.544632 0.000000 0.053044
 0.110  0.815204 4.152128 0.804244 4.477106 45.494732 0.000000 0.014068
 0.111  0.819318 4.119976 0.808517 4.305522 180.887756 0.000000 0.055933
 0.112  0.823399 4.087661 0.812900 4.370563 72.288109 0.000000 0.022353
 0.113  0.827448 4.055185 0.817283 4.380864 17.702864 0.000000 0.005474
 0.114  0.831465 4.022549 0.821556 4.290279 67.472794 0.000000 0.020864
 0.115  0.835448 3.989754 0.825610 4.091500 232.712204 0.000000 0.071958
 0.116  0.839399 3.956802 0.829993 4.336665 -62.923595 0.000000 -0.019457
 0.117  0.843316 3.923693 0.833938 4.006631 236.047546 0.000000 0.072989
 0.118  0.847201 3.890429 0.838211 4.231007 -37.434875 0.000000 -0.011575
 0.119  0.851051 3.857012 0.842265 4.082113 72.262047 0.000000 0.022344
 0.120  0.854868 3.823443 0.846429 4.150746 -42.779625 0.000000 -0.013228
 0.121  0.858652 3.789722 0.850373 3.977185 92.964668 0.000000 0.028746
 0.122  0.862401 3.755853 0.854537 4.134127 -113.879387 0.000000 -0.035213
 0.123  0.866117 3.721834 0.858372 3.882337 101.994865 0.000000 0.031538
 0.124  0.869798 3.687669 0.862426 4.026889 -91.223778 0.000000 -0.028208
 0.125  0.873445 3.653358 0.866261 3.865352 30.862156 0.000000 0.009543
 0.126  0.877057 3.618904 0.869986 3.747551 111.189423 0.000000 0.034381
 0.127  0.880635 3.584306 0.873931 3.913325 -103.691444 0.000000 -0.032063
 0.128  0.884178 3.549566 0.877547 3.662933 111.635422 0.000000 0.034519
 0.129  0.887686 3.514687 0.881491 3.899923 -177.833405 0.000000 -0.054989
 0.130  0.891159 3.479669 0.885107 3.660811 23.434254 0.000000 0.007246
 0.131  0.894597 3.444513 0.888832 3.715155 -76.763786 0.000000 -0.023736
 0.132  0.898000 3.409221 0.892229 3.447114 158.513901 0.000000 0.049015
 0.133  0.901367 3.373795 0.895735 3.496877 67.729637 0.000000 0.020943
 0.134  0.904698 3.338236 0.899461 3.689190 -175.851639 0.000000 -0.054376
 0.135  0.907994 3.302545 0.902857 3.443002 33.311565 0.000000 0.010300
 0.136  0.911254 3.266723 0.906583 3.680657 -258.770081 0.000000 -0.080015
 0.137  0.914478 3.230773 0.910089 3.533866 -156.445526 0.000000 -0.048375
 0.138  0.917666 3.194695 0.913486 3.418401 -83.383385 0.000000 -0.025783
 0.139  0.920818 3.158491 0.916882 3.400113 -109.833115 0.000000 -0.033962
 0.140  0.923933 3.122162 0.920169 3.305001 -56.319324 0.000000 -0.017415
 0.141  0.927012 3.085710 0.923347 3.197721 11.851982 0.000000 0.003665
 0.142  0.930054 3.049136 0.926634 3.272945 -109.413620 0.000000 -0.033832
 0.143  0.933060 3.012441 0.929702 3.100428 25.638958 0.000000 0.007928
 0.144  0.936029 2.975628 0.933099 3.349751 -277.953003 0.000000 -0.085947
 0.145  0.938960 2.938698 0.936276 3.204808 -177.242035 0.000000 -0.054806
 0.146  0.941855 2.901651 0.939344 3.089636 -104.243889 0.000000 -0.032234
 0.147  0.944712 2.864490 0.942522 3.163610 -227.404053 0.000000 -0.070317
 0.148  0.947533 2.827215 0.945480 2.990895 -95.320953 0.000000 -0.029475
 0.149  0.950315 2.789829 0.948329 2.871324 -14.565329 0.000000 -0.004504
 0.150  0.953061 2.752333 0.951397 3.036817 -230.588379 0.000000 -0.071301
 0.151  0.955768 2.714728 0.954246 2.878597 -113.580742 0.000000 -0.035121
 0.152  0.958438 2.677016 0.957094 2.853538 -132.460144 0.000000 -0.040959
