 0.000  -0.000000 -0.000001 0.000000 0.000000 0.000000 0.000000 -0.000635
 0.001  -0.000000 -0.000004 0.000000 0.000000 0.000000 0.000000 -0.001713
 0.002  -0.000000 -0.000008 0.000000 0.000000 0.000000 0.000000 -0.003222
 0.003  -0.000000 -0.000014 0.000000 0.000000 0.000000 0.000000 -0.005036
 0.004  -0.000000 -0.000022 0.000000 0.000000 0.000000 0.000000 -0.007056
 0.005  -0.000000 -0.000031 0.000000 0.000000 0.000000 0.000000 -0.009209
 0.006  -0.000000 -0.000043 0.000000 0.000000 0.000000 0.000000 -0.011451
 0.007  -0.000000 -0.000056 0.000000 0.000000 0.000000 0.000000 -0.013753
 0.008  -0.000000 -0.000072 0.000000 0.000000 0.000000 0.000000 -0.016100
 0.009  -0.000000 -0.000089 0.000000 0.000000 0.000000 0.000000 -0.018479
 0.010  -0.000001 -0.000108 0.000000 0.000000 0.000000 0.000000 -0.020887
 0.011  -0.000001 -0.000130 0.000000 0.000000 0.000000 0.000000 -0.023320
 0.012  -0.000001 -0.000153 0.000000 0.000000 0.000000 0.000000 -0.025776
 0.013  -0.000001 -0.000178 0.000000 0.000000 0.000000 0.000000 -0.028254
 0.014  -0.000001 -0.000204 0.000000 0.000000 0.000000 0.000000 -0.030753
 0.015  -0.000002 -0.000233 0.000000 0.000000 0.000000 0.000000 -0.033273
 0.016  -0.000002 -0.000264 0.000000 0.000000 0.000000 0.000000 -0.035815
 0.017  -0.000002 -0.000296 0.000000 0.000000 0.000000 0.000000 -0.038376
 0.018  -0.000003 -0.000330 0.000000 0.000000 0.000000 0.000000 -0.040959
 0.019  -0.000003 -0.000367 0.000000 0.000000 0.000000 0.000000 -0.043562
 0.020  -0.000003 -0.000405 0.000000 0.000000 0.000000 0.000000 -0.046186
 0.021  -0.000004 -0.000445 0.000000 0.000000 0.000000 0.000000 -0.048831
 0.022  -0.000004 -0.000486 0.000000 0.000000 0.000000 0.000000 -0.051496
 0.023  -0.000005 -0.000530 0.000000 0.000000 0.000000 0.000000 -0.054182
 0.024  -0.000006 -0.000575 0.000000 0.000000 0.000000 0.000000 -0.056888
 0.025  -0.000006 -0.000622 0.000000 0.000000 0.000000 0.000000 -0.059615
 0.026  -0.000007 -0.000671 0.000000 0.000000 0.000000 0.000000 -0.062362
 0.027  -0.000008 -0.000722 0.000000 0.000000 0.000000 0.000000 -0.065130
 0.028  -0.000009 -0.000775 0.000000 0.000000 0.000000 0.000000 -0.067918
 0.029  -0.000010 -0.000829 0.000000 0.000000 0.000000 0.000000 -0.070727
 0.030  -0.000010 -0.000885 0.000000 0.000000 0.000000 0.000000 -0.073556
 0.031  -0.000011 -0.000943 0.000000 0.000000 0.000000 0.000000 -0.076406
 0.032  -0.000013 -0.001003 0.000000 0.000000 0.000000 0.000000 -0.079276
 0.033  -0.000014 -0.001065 0.000000 0.000000 0.000000 0.000000 -0.082166
 0.034  -0.000015 -0.001128 0.000000 0.000000 0.000000 0.000000 -0.085077
 0.035  -0.000016 -0.001193 0.000000 0.000000 0.000000 0.000000 -0.088008
 0.036  -0.000017 -0.001260 0.000000 0.000000 0.000000 0.000000 -0.090959
 0.037  -0.000019 -0.001329 0.000000 0.000000 0.000000 0.000000 -0.093931
 0.038  -0.000020 -0.001399 0.000000 0.000000 0.000000 0.000000 -0.096922
 0.039  -0.000022 -0.001471 0.000000 0.000000 0.000000 0.000000 -0.099934
 0.040  -0.000023 -0.001545 -0.000002 -0.000762 0.000000 0.000000 0.326438
 0.041  -0.000025 -0.001620 -0.000002 -0.000388 0.000000 0.000000 -0.092559
 0.042  -0.000027 -0.001698 -0.000002 -0.000198 0.000000 0.000000 -0.206845
 0.043  -0.000029 -0.001777 -0.000002 -0.000101 0.000000 0.000000 -0.215283
 0.044  -0.000031 -0.001857 0.000000 0.000711 0.000000 0.000000 -0.624375
 0.045  -0.000033 -0.001940 -0.000002 -0.000400 0.000000 0.000000 0.243100
 0.046  -0.000035 -0.002024 -0.000003 -0.000966 0.000000 0.000000 0.384279
 0.047  -0.000037 -0.002110 -0.000006 -0.002017 0.000000 0.000000 0.731579
 0.048  -0.000039 -0.002197 -0.000008 -0.001790 0.000000 0.000000 0.194546
 0.049  -0.000042 -0.002286 -0.000006 -0.000150 0.000000 0.000000 -0.878327
 0.050  -0.000044 -0.002377 -0.000002 0.002211 0.000000 0.000000 -1.843553
 0.051  -0.000047 -0.002470 0.000000 0.001889 0.000000 0.000000 -0.842376
 0.052  -0.000049 -0.002564 -0.000005 -0.001325 0.000000 0.000000 1.297001
 0.053  -0.000052 -0.002660 -0.000017 -0.006773 0.000000 0.000000 3.666921
 0.054  -0.000055 -0.002757 -0.000026 -0.008025 0.000000 0.000000 2.546365
 0.055  -0.000058 -0.002856 -0.000023 -0.002564 0.000000 0.000000 -1.798518
 0.056  -0.000061 -0.002957 -0.000003 0.008603 0.000000 0.000000 -4.000000
 0.057  -0.000064 -0.003060 0.000017 0.014293 0.000000 0.000000 -4.000000
 0.058  -0.000068 -0.003164 0.000022 0.009570 0.000000 0.000000 -1.108767
 0.059  -0.000071 -0.003270 0.000003 -0.004271 0.000000 0.000000 4.000000
 0.060  -0.000074 -0.003377 -0.000028 -0.017422 0.000000 0.000000 4.000000
 0.061  -0.000078 -0.003486 -0.000048 -0.018787 0.000000 0.000000 4.000000
 0.062  -0.000082 -0.003596 -0.000047 -0.008810 0.000000 0.000000 -2.321816
 0.063  -0.000086 -0.003709 -0.000025 0.006183 0.000000 0.000000 -4.000000
 0.064  -0.000089 -0.003822 0.000000 0.015347 0.000000 0.000000 -4.000000
 0.065  -0.000094 -0.003938 0.000008 0.011631 0.000000 0.000000 -3.310429
 0.066  -0.000098 -0.004055 -0.000008 -0.001697 0.000000 0.000000 4.000000
 0.067  -0.000102 -0.004173 -0.000040 -0.016872 0.000000 0.000000 4.000000
 0.068  -0.000106 -0.004293 -0.000070 -0.023080 0.000000 0.000000 4.000000
 0.069  -0.000111 -0.004415 -0.000078 -0.015572 0.000000 0.000000 0.566451
 0.070  -0.000116 -0.004538 -0.000064 -0.001073 0.000000 0.000000 -4.000000
 0.071  -0.000120 -0.004663 -0.000037 0.012412 0.000000 0.000000 -4.000000
 0.072  -0.000125 -0.004790 -0.000023 0.013185 0.000000 0.000000 -4.000000
 0.073  -0.000130 -0.004918 -0.000030 0.003669 0.000000 0.000000 1.806129
 0.074  -0.000136 -0.005047 -0.000061 -0.013376 0.000000 0.000000 4.000000
 0.075  -0.000141 -0.005178 -0.000093 -0.022824 0.000000 0.000000 4.000000
 0.076  -0.000146 -0.005311 -0.000109 -0.019252 0.000000 0.000000 3.434045
 0.077  -0.000152 -0.005445 -0.000103 -0.006760 0.000000 0.000000 -4.000000
 0.078  -0.000158 -0.005581 -0.000078 0.008752 0.000000 0.000000 -4.000000
 0.079  -0.000164 -0.005718 -0.000056 0.015131 0.000000 0.000000 -4.000000
 0.080  -0.000170 -0.005856 -0.000056 0.007710 0.000000 0.000000 -0.947146
 0.081  -0.000176 -0.005997 -0.000078 -0.006744 0.000000 0.000000 4.000000
 0.082  -0.000182 -0.006138 -0.000112 -0.020206 0.000000 0.000000 4.000000
 0.083  -0.000188 -0.006281 -0.000137 -0.022492 0.000000 0.000000 4.000000
 0.084  -0.000195 -0.006426 -0.000138 -0.012223 0.000000 0.000000 -2.152321
 0.085  -0.000202 -0.006572 -0.000120 0.002920 0.000000 0.000000 -4.000000
 0.086  -0.000209 -0.006720 -0.000096 0.012922 0.000000 0.000000 -4.000000
 0.087  -0.000216 -0.006869 -0.000092 0.008871 0.000000 0.000000 -3.396730
 0.088  -0.000223 -0.007020 -0.000110 -0.004627 0.000000 0.000000 4.000000
 0.089  -0.000230 -0.007172 -0.000146 -0.019890 0.000000 0.000000 4.000000
 0.090  -0.000238 -0.007325 -0.000179 -0.026143 0.000000 0.000000 4.000000
 0.091  -0.000245 -0.007480 -0.000190 -0.018656 0.000000 0.000000 0.575256
