 0.000  -0.080000 -0.000000 -0.081938 -0.020429 4.405275 0.000000 4.000000
 0.001  -0.080000 -0.000000 -0.081934 -0.008122 4.405275 0.000000 -4.000000
 0.002  -0.080000 -0.000000 -0.081906 0.009583 4.405275 0.000000 -4.000000
 0.003  -0.080000 -0.000000 -0.081871 0.021653 4.405275 0.000000 -4.000000
 0.004  -0.080000 -0.000000 -0.081859 0.017131 4.405275 0.000000 -4.000000
 0.005  -0.080000 -0.000000 -0.081868 0.004155 4.405275 0.000000 4.000000
 0.006  -0.080000 -0.000000 -0.081899 -0.013129 4.405275 0.000000 4.000000
 0.007  -0.080000 -0.000000 -0.081937 -0.024984 4.405275 0.000000 4.000000
 0.008  -0.080000 -0.000000 -0.081952 -0.020353 4.405275 0.000000 4.000000
 0.009  -0.080000 -0.000000 -0.081948 -0.008084 4.405275 0.000000 -4.000000
 0.010  -0.080000 -0.000000 -0.081921 0.008840 4.405275 0.000000 -4.000000
 0.011  -0.080000 -0.000000 -0.081887 0.021275 4.405275 0.000000 -4.000000
 0.012  -0.080000 -0.000000 -0.081874 0.016938 4.405275 0.000000 -4.000000
 0.013  -0.080000 -0.000000 -0.081884 0.004057 4.405275 0.000000 4.000000
 0.014  -0.080000 -0.000000 -0.081915 -0.013179 4.405275 0.000000 4.000000
 0.015  -0.080000 -0.000000 -0.081952 -0.025010 4.405275 0.000000 4.000000
 0.016  -0.080000 -0.000000 -0.081969 -0.021128 4.405275 0.000000 4.000000
 0.017  -0.080000 -0.000000 -0.081966 -0.009241 4.405275 0.000000 -4.000000
 0.018  -0.080000 -0.000000 -0.081938 0.009013 4.405275 0.000000 -4.000000
 0.019  -0.080000 -0.000000 -0.081906 0.020600 4.405275 0.000000 -4.000000
 0.020  -0.080000 -0.000000 -0.081895 0.015832 4.405275 0.000000 -3.965835
 0.021  -0.080000 -0.000000 -0.081904 0.003493 4.405275 0.000000 4.000000
 0.022  -0.080000 -0.000000 -0.081935 -0.013466 4.405275 0.000000 4.000000
 0.023  -0.080000 -0.000000 -0.081974 -0.025918 4.405275 0.000000 4.000000
 0.024  -0.080000 -0.000000 -0.081991 -0.021591 4.405275 0.000000 4.000000
 0.025  -0.080000 -0.000000 -0.081988 -0.009477 4.405275 0.000000 -4.000000
 0.026  -0.080000 -0.000000 -0.081962 0.008130 4.405275 0.000000 -4.000000
 0.027  -0.080000 -0.000000 -0.081929 0.020151 4.405275 0.000000 -4.000000
 0.028  -0.080000 -0.000000 -0.081920 0.014841 4.405275 0.000000 -3.707633
 0.029  -0.080000 -0.000000 -0.081929 0.002988 4.405275 0.000000 4.000000
 0.030  -0.080000 -0.000000 -0.081962 -0.014486 4.405275 0.000000 4.000000
 0.031  -0.080000 -0.000000 -0.081999 -0.025676 4.405275 0.000000 4.000000
 0.032  -0.080000 -0.000000 -0.082014 -0.020705 4.405275 0.000000 3.865145
 0.033  -0.080000 -0.000000 -0.082011 -0.009025 4.405275 0.000000 -4.000000
 0.034  -0.080000 -0.000000 -0.081983 0.009123 4.405275 0.000000 -4.000000
 0.035  -0.080000 -0.000000 -0.081949 0.021419 4.405275 0.000000 -4.000000
 0.036  -0.080000 -0.000000 -0.081937 0.017012 4.405275 0.000000 -4.000000
 0.037  -0.080000 -0.000000 -0.081946 0.004094 4.405275 0.000000 4.000000
 0.038  -0.080000 -0.000000 -0.081977 -0.013160 4.405275 0.000000 4.000000
 0.039  -0.080000 -0.000000 -0.082014 -0.025000 4.405275 0.000000 4.000000
 0.040  -0.080000 -0.000000 -0.082033 -0.021886 4.405275 0.000000 4.000000
 0.041  -0.080000 -0.000000 -0.082028 -0.008864 4.405275 0.000000 -4.000000
 0.042  -0.080000 -0.000000 -0.082002 0.008442 4.405275 0.000000 -4.000000
