 0.000  -0.080000 -0.000000 -0.081484 -0.014750 -7.410479 0.000000 1.405644
 0.001  -0.080000 -0.000000 -0.081469 0.000107 -7.410479 0.000000 -4.000000
 0.002  -0.080000 -0.000000 -0.081438 0.015300 -7.410479 0.000000 -4.000000
 0.003  -0.080000 -0.000000 -0.081411 0.020755 -7.410479 0.000000 -4.000000
 0.004  -0.080000 -0.000000 -0.081404 0.014387 -7.410479 0.000000 -1.355928
 0.005  -0.080000 -0.000000 -0.081418 0.000470 -7.410479 0.000000 4.000000
 0.006  -0.080000 -0.000000 -0.081449 -0.015006 -7.410479 0.000000 4.000000
 0.007  -0.080000 -0.000000 -0.081477 -0.021367 -7.410479 0.000000 4.000000
 0.008  -0.080000 -0.000000 -0.081483 -0.013936 -7.410479 0.000000 1.075665
 0.009  -0.080000 -0.000000 -0.081467 0.000522 -7.410479 0.000000 -4.000000
 0.010  -0.080000 -0.000000 -0.081438 0.014749 -7.410479 0.000000 -4.000000
 0.011  -0.080000 -0.000000 -0.081411 0.020474 -7.410479 0.000000 -4.000000
 0.012  -0.080000 -0.000000 -0.081405 0.013481 -7.410479 0.000000 -0.930563
 0.013  -0.080000 -0.000000 -0.081422 -0.001516 -7.410479 0.000000 4.000000
 0.014  -0.080000 -0.000000 -0.081453 -0.016018 -7.410479 0.000000 4.000000
 0.015  -0.080000 -0.000000 -0.081480 -0.021121 -7.410479 0.000000 4.000000
 0.016  -0.080000 -0.000000 -0.081486 -0.013811 -7.410479 0.000000 0.755673
 0.017  -0.080000 -0.000000 -0.081470 0.000586 -7.410479 0.000000 -4.000000
 0.018  -0.080000 -0.000000 -0.081439 0.015544 -7.410479 0.000000 -4.000000
 0.019  -0.080000 -0.000000 -0.081414 0.020117 -7.410479 0.000000 -4.000000
 0.020  -0.080000 -0.000000 -0.081410 0.012537 -7.410479 0.000000 -0.393506
 0.021  -0.080000 -0.000000 -0.081425 -0.001235 -7.410479 0.000000 4.000000
 0.022  -0.080000 -0.000000 -0.081456 -0.015875 -7.410479 0.000000 4.000000
 0.023  -0.080000 -0.000000 -0.081481 -0.020285 -7.410479 0.000000 4.000000
 0.024  -0.080000 -0.000000 -0.081486 -0.012623 -7.410479 0.000000 0.317629
 0.025  -0.080000 -0.000000 -0.081467 0.002716 -7.410479 0.000000 -4.000000
 0.026  -0.080000 -0.000000 -0.081438 0.015867 -7.410479 0.000000 -4.000000
 0.027  -0.080000 -0.000000 -0.081413 0.020281 -7.410479 0.000000 -4.000000
 0.028  -0.080000 -0.000000 -0.081408 0.012621 -7.410479 0.000000 -0.145263
 0.029  -0.080000 -0.000000 -0.081427 -0.002717 -7.410479 0.000000 4.000000
 0.030  -0.080000 -0.000000 -0.081458 -0.016630 -7.410479 0.000000 4.000000
 0.031  -0.080000 -0.000000 -0.081483 -0.020670 -7.410479 0.000000 4.000000
 0.032  -0.080000 -0.000000 -0.081486 -0.012056 -7.410479 0.000000 -0.289334
